"","cod_distrito","distrito_nombre","cod_canton","canton_nombre","provincia_nombre","n_years"
"153",20302,"San Isidro",203,"Grecia","Alajuela",11
"154",20303,"San José",203,"Grecia","Alajuela",11
"155",20304,"San Roque",203,"Grecia","Alajuela",11
"156",20305,"Tacares",203,"Grecia","Alajuela",11
"157",20307,"Puente de Piedra",203,"Grecia","Alajuela",11
"158",20308,"Bolívar",203,"Grecia","Alajuela",11
"159",20401,"San Mateo",204,"San Mateo","Alajuela",11
"160",20402,"Desmonte",204,"San Mateo","Alajuela",11
"161",20403,"Jesús María",204,"San Mateo","Alajuela",11
"162",20404,"Labrador",204,"San Mateo","Alajuela",11
"163",20501,"Atenas",205,"Atenas","Alajuela",11
"164",20502,"Jesús",205,"Atenas","Alajuela",11
"165",20503,"Mercedes",205,"Atenas","Alajuela",11
"166",20504,"San Isidro",205,"Atenas","Alajuela",11
"167",20505,"Concepción",205,"Atenas","Alajuela",11
"168",20506,"San José",205,"Atenas","Alajuela",11
"169",20507,"Santa Eulalia",205,"Atenas","Alajuela",11
"170",20508,"Escobal",205,"Atenas","Alajuela",11
"171",20601,"Naranjo",206,"Naranjo","Alajuela",11
"172",20602,"San Miguel",206,"Naranjo","Alajuela",11
"173",20603,"San José",206,"Naranjo","Alajuela",11
"174",20604,"Cirrí Sur",206,"Naranjo","Alajuela",11
"175",20605,"San Jerónimo",206,"Naranjo","Alajuela",11
"176",20606,"San Juan",206,"Naranjo","Alajuela",11
"177",20607,"El Rosario",206,"Naranjo","Alajuela",11
"178",20608,"Palmitos",206,"Naranjo","Alajuela",11
"179",20701,"Palmares",207,"Palmares","Alajuela",11
"180",20702,"Zaragoza",207,"Palmares","Alajuela",11
"181",20703,"Buenos Aires",207,"Palmares","Alajuela",11
"182",20704,"Santiago",207,"Palmares","Alajuela",11
"183",20705,"Candelaria",207,"Palmares","Alajuela",11
"184",20706,"Esquipulas",207,"Palmares","Alajuela",11
"185",20707,"La Granja",207,"Palmares","Alajuela",11
"186",20801,"San Pedro",208,"Poás","Alajuela",11
"187",20802,"San Juan",208,"Poás","Alajuela",11
"188",20803,"San Rafael",208,"Poás","Alajuela",11
"189",20804,"Carrillos",208,"Poás","Alajuela",11
"190",20805,"Sabana Redonda",208,"Poás","Alajuela",11
"191",20901,"Orotina",209,"Orotina","Alajuela",11
"192",20902,"El Mastate",209,"Orotina","Alajuela",11
"193",20903,"Hacienda Vieja",209,"Orotina","Alajuela",11
"194",20904,"Coyolar",209,"Orotina","Alajuela",11
"195",20905,"La Ceiba",209,"Orotina","Alajuela",11
"196",21001,"Quesada",210,"San Carlos","Alajuela",11
"197",21002,"Florencia",210,"San Carlos","Alajuela",11
"198",21003,"Buenavista",210,"San Carlos","Alajuela",11
"199",21004,"Aguas Zarcas",210,"San Carlos","Alajuela",11
"200",21005,"Venecia",210,"San Carlos","Alajuela",11
