"","effect","group","level","term","estimate","std.error","conf.low","conf.high"
"97","ran_vals","distrito_nombre2","11604-San Luis","(Intercept)",-49.4440415433512,53.2233115151163,-153.759815250935,54.8717321642327
"98","ran_vals","distrito_nombre2","11605-Carara","(Intercept)",-94.8025641478186,53.2233115151163,-199.118337855402,9.51320955976527
"99","ran_vals","distrito_nombre2","11701-Santa María","(Intercept)",266.646360473241,53.2233115151163,162.330586765657,370.962134180825
"100","ran_vals","distrito_nombre2","11702-Jardín","(Intercept)",-90.9578765280478,53.2233115151163,-195.273650235632,13.357897179536
"101","ran_vals","distrito_nombre2","11703-Copey","(Intercept)",-36.7576664425366,53.2233115151163,-141.07344015012,67.5581072650472
"102","ran_vals","distrito_nombre2","11801-Curridabat","(Intercept)",133.378991155456,53.2233115151163,29.0632174478724,237.69476486304
"103","ran_vals","distrito_nombre2","11802-Granadilla","(Intercept)",-47.8846499688188,53.2233115151163,-152.200423676403,56.4311237387651
"104","ran_vals","distrito_nombre2","11803-Sánchez","(Intercept)",-0.906149986963135,53.2233115151163,-105.221923694547,103.409623720621
"105","ran_vals","distrito_nombre2","11804-Tirrases","(Intercept)",-29.8448256801316,53.2233115151163,-134.160599387715,74.4709480274523
"106","ran_vals","distrito_nombre2","11901-San Isidro de El General","(Intercept)",71.2629831401607,53.2233115151163,-33.0527905674231,175.578756847745
"107","ran_vals","distrito_nombre2","11902-El General","(Intercept)",6.16383226340965,53.2233115151163,-98.1519414441742,110.479605970993
"108","ran_vals","distrito_nombre2","11903-Daniel Flores","(Intercept)",3.88930726114189,53.2233115151163,-100.426466446442,108.205080968726
"109","ran_vals","distrito_nombre2","11904-Rivas","(Intercept)",-44.9281747693582,53.2233115151163,-149.243948476942,59.3875989382256
"110","ran_vals","distrito_nombre2","11905-San Pedro","(Intercept)",-48.9113561075064,53.2233115151163,-153.22712981509,55.4044176000775
"111","ran_vals","distrito_nombre2","11906-Platanares","(Intercept)",27.8983163328267,53.2233115151163,-76.4174573747571,132.214090040411
"112","ran_vals","distrito_nombre2","11907-Pejibaye","(Intercept)",280.319106091905,53.2233115151163,176.003332384321,384.634879799489
"113","ran_vals","distrito_nombre2","11908-Cajón","(Intercept)",-0.993109550184776,53.2233115151163,-105.308883257769,103.322664157399
"114","ran_vals","distrito_nombre2","11909-Barú","(Intercept)",-39.8928094906028,53.2233115151163,-144.208583198187,64.422964216981
"115","ran_vals","distrito_nombre2","11910-Río Nuevo","(Intercept)",-30.0023574160742,53.2233115151163,-134.318131123658,74.3134162915097
"116","ran_vals","distrito_nombre2","11911-Páramo","(Intercept)",13.0527884494057,53.2233115151163,-91.2629852581782,117.368562156989
"117","ran_vals","distrito_nombre2","11912-La Amistad","(Intercept)",-179.350081234537,62.4118756017171,-301.675109621497,-57.0250528475779
"118","ran_vals","distrito_nombre2","12001-San Pablo","(Intercept)",24.1966842671938,53.2233115151163,-80.11908944039,128.512457974778
"119","ran_vals","distrito_nombre2","12002-San Andrés","(Intercept)",-134.104816892399,53.2233115151163,-238.420590599983,-29.7890431848155
"120","ran_vals","distrito_nombre2","12003-Llano Bonito","(Intercept)",39.0471128546226,53.2233115151163,-65.2686608529613,143.362886562206
"121","ran_vals","distrito_nombre2","12004-San Isidro","(Intercept)",-55.1873481871536,53.2233115151163,-159.503121894737,49.1284255204302
"122","ran_vals","distrito_nombre2","12005-Santa Cruz","(Intercept)",-37.2311084334348,53.2233115151163,-141.546882141019,67.084665274149
"123","ran_vals","distrito_nombre2","12006-San Antonio","(Intercept)",47.3476549322511,53.2233115151163,-56.9681187753327,151.663428639835
"124","ran_vals","distrito_nombre2","20101-Alajuela","(Intercept)",393.716396023461,53.2233115151163,289.400622315877,498.032169731045
"125","ran_vals","distrito_nombre2","20102-San José","(Intercept)",-35.4982785162273,53.2233115151163,-139.814052223811,68.8174951913565
"126","ran_vals","distrito_nombre2","20103-Carrizal","(Intercept)",-23.9083589570302,53.2233115151163,-128.224132664614,80.4074147505536
"127","ran_vals","distrito_nombre2","20104-San Antonio","(Intercept)",-5.55148969063012,53.2233115151163,-109.867263398214,98.7642840169537
"128","ran_vals","distrito_nombre2","20105-Guácima","(Intercept)",-49.7236204244753,53.2233115151163,-154.039394132059,54.5921532831085
"129","ran_vals","distrito_nombre2","20106-San Isidro","(Intercept)",-80.4102977701844,53.2233115151163,-184.726071477768,23.9054759373994
"130","ran_vals","distrito_nombre2","20107-Sabanilla","(Intercept)",-101.942439280926,53.2233115151163,-206.25821298851,2.37333442665803
"131","ran_vals","distrito_nombre2","20108-San Rafael","(Intercept)",-88.6205954080597,53.2233115151163,-192.936369115644,15.6951782995241
