"","effect","group","level","term","estimate","std.error","conf.low","conf.high"
"440","ran_vals","distrito_nombre2","60703-Guaycará","(Intercept)",21.0250415496335,53.1339907938798,-83.1156667612536,125.165749860521
"441","ran_vals","distrito_nombre2","60704-Pavón","(Intercept)",-131.72265688038,53.1339907938798,-235.863365191267,-27.5819485694926
"442","ran_vals","distrito_nombre2","60801-San Vito","(Intercept)",100.177103268432,53.1339907938798,-3.96360504245479,204.31781157932
"443","ran_vals","distrito_nombre2","60802-Sabalito","(Intercept)",-67.2063661724441,53.1339907938798,-171.347074483331,36.9343421384431
"444","ran_vals","distrito_nombre2","60803-Aguabuena","(Intercept)",-25.1008492232922,53.1339907938798,-129.241557534179,79.039859087595
"445","ran_vals","distrito_nombre2","60804-Limoncito","(Intercept)",-14.5752719230408,53.1339907938798,-118.715980233928,89.5654363878464
"446","ran_vals","distrito_nombre2","60805-Pittier","(Intercept)",-175.691746048827,53.1339907938798,-279.832454359714,-71.5510377379396
"447","ran_vals","distrito_nombre2","60806-Gutiérrez Braun","(Intercept)",182.397130099156,62.274084854297,60.3421666145428,304.452093583769
"448","ran_vals","distrito_nombre2","60901-Parrita","(Intercept)",7.15220985103476e-13,53.1339907938798,-104.140708310886,104.140708310888
"449","ran_vals","distrito_nombre2","61001-Corredor","(Intercept)",70.2375245624801,53.1339907938798,-33.9031837484071,174.378232873367
"450","ran_vals","distrito_nombre2","61002-La Cuesta","(Intercept)",47.5338674525507,53.1339907938798,-56.6068408583365,151.674575763438
"451","ran_vals","distrito_nombre2","61003-Canoas","(Intercept)",-45.5643183065052,53.1339907938798,-149.705026617392,58.576390004382
"452","ran_vals","distrito_nombre2","61004-Laurel","(Intercept)",-72.2070737085232,53.1339907938798,-176.34778201941,31.9336346023639
"453","ran_vals","distrito_nombre2","61101-Jacó","(Intercept)",-45.280325517281,53.1339907938798,-149.421033828168,58.8603827936062
"454","ran_vals","distrito_nombre2","61102-Tárcoles","(Intercept)",45.2803255172773,53.1339907938798,-58.8603827936099,149.421033828164
"455","ran_vals","distrito_nombre2","61201-Monteverde","(Intercept)",-4.99429442510203e-13,53.1339907938798,-104.140708310888,104.140708310887
"456","ran_vals","distrito_nombre2","61301-Puerto Jiménez","(Intercept)",2.01315111303614e-12,53.1339907938798,-104.140708310885,104.140708310889
"457","ran_vals","distrito_nombre2","70101-Limón","(Intercept)",229.981879901666,53.1339907938798,125.841171590779,334.122588212553
"458","ran_vals","distrito_nombre2","70102-Valle La Estrella","(Intercept)",-127.312425654833,53.1339907938798,-231.453133965721,-23.1717173439463
"459","ran_vals","distrito_nombre2","70103-Río Blanco","(Intercept)",-124.293419428272,53.1339907938798,-228.434127739159,-20.1527111173849
