,effect,group,term,estimate,std.error,statistic,conf.low,conf.high
1,fixed,cantón,(Intercept),714.2577003,57.38280862,12.44724191,601.7894621,826.7259385
2,fixed,cantón,102-Escazú,-201.1694885,123.9183671,-1.623403319,-444.0450251,41.70604807
3,fixed,cantón,103-Desamparados,-314.4760562,77.94104715,-4.03479383,-467.2377015,-161.7144108
4,fixed,cantón,104-Puriscal,-313.6715302,85.51179732,-3.668166733,-481.2715732,-146.0714872
5,fixed,cantón,105-Tarrazú,-406.2823789,123.9183671,-3.278629217,-649.1579155,-163.4068424
6,fixed,cantón,106-Aserrí,-284.8160944,91.98553194,-3.096314044,-465.1044241,-104.5277647
7,fixed,cantón,107-Mora,-362.8041326,92.36229721,-3.928054451,-543.8309087,-181.7773566
8,fixed,cantón,108-Goicoechea,-267.1007406,91.98553194,-2.903725564,-447.3890703,-86.81241093
9,fixed,cantón,109-Santa Ana,-395.6007204,96.55641376,-4.097094175,-584.8478139,-206.353627
10,fixed,cantón,110-Alajuelita,-372.6877376,102.6141568,-3.631932955,-573.8077892,-171.567686
11,fixed,cantón,111-Vázquez de Coronado,-317.2054182,102.6141568,-3.091244212,-518.3254698,-116.0853666
12,fixed,cantón,112-Acosta,-321.6549753,102.6141568,-3.134606232,-522.7750269,-120.5349237
13,fixed,cantón,113-Tibás,-211.4703626,102.6141568,-2.060830291,-412.5904142,-10.35031096
14,fixed,cantón,114-Moravia,-324.7533095,123.9183671,-2.620703589,-567.6288461,-81.87777288
15,fixed,cantón,115-Montes de Oca,-355.3174461,111.0830832,-3.198663882,-573.0362885,-137.5986038
16,fixed,cantón,116-Turrubares,-447.9592857,102.6141568,-4.36547256,-649.0793374,-246.8392341
17,fixed,cantón,117-Dota,-429.3512116,123.9183671,-3.464790746,-672.2267482,-186.475675
18,fixed,cantón,118-Curridabat,-405.5972024,111.0830832,-3.651295865,-623.3160448,-187.87836
19,fixed,cantón,119-Pérez Zeledón,-333.3775016,79.56339264,-4.190086553,-489.3188857,-177.4361176
20,fixed,cantón,120-León Cortés Castro,-338.0839068,96.55641376,-3.501413253,-527.3310003,-148.8368134
21,fixed,cantón,201-Alajuela,-375.1215003,76.65460995,-4.893658718,-525.361775,-224.8812255
22,fixed,cantón,202-San Ramón,-336.6569642,76.8133833,-4.382790469,-487.208429,-186.1054994
