cod_canton,cod_distrito,anho,defunciones_hombres,defunciones_mujeres,defunciones_total
405,40505,2013,14,7,21
406,40601,2013,27,21,48
406,40602,2013,19,13,32
406,40603,2013,14,0,14
406,40604,2013,4,5,9
407,40701,2013,32,15,47
407,40702,2013,18,24,42
407,40703,2013,4,12,16
408,40801,2013,30,23,53
408,40802,2013,9,13,22
408,40803,2013,13,10,23
409,40901,2013,49,50,99
409,40902,2013,3,10,13
410,41001,2013,49,30,79
410,41002,2013,25,15,40
410,41003,2013,51,32,83
410,41004,2013,4,1,5
410,41005,2013,1,0,1
501,50101,2013,130,113,243
501,50102,2013,6,4,10
501,50103,2013,1,2,3
501,50104,2013,6,5,11
501,50105,2013,8,3,11
502,50201,2013,92,55,147
502,50202,2013,22,6,28
502,50203,2013,24,20,44
502,50204,2013,15,5,20
502,50205,2013,10,3,13
502,50206,2013,8,7,15
502,50207,2013,7,5,12
503,50301,2013,72,55,127
503,50302,2013,9,4,13
503,50303,2013,24,16,40
503,50304,2013,13,9,22
503,50305,2013,11,11,22
503,50306,2013,4,3,7
503,50307,2013,11,9,20
503,50308,2013,8,6,14
503,50309,2013,18,13,31
504,50401,2013,35,22,57
504,50402,2013,6,3,9
504,50403,2013,9,3,12
504,50404,2013,6,0,6
505,50501,2013,38,16,54
505,50502,2013,9,10,19
505,50503,2013,38,27,65
505,50504,2013,25,16,41
506,50601,2013,67,49,116
506,50602,2013,1,3,4
506,50603,2013,2,2,4
506,50604,2013,7,4,11
506,50605,2013,1,1,2
507,50701,2013,28,27,55
507,50702,2013,4,4,8
507,50703,2013,4,4,8
507,50704,2013,18,9,27
508,50801,2013,22,20,42
508,50802,2013,5,4,9
508,50803,2013,4,5,9
508,50804,2013,2,4,6
508,50805,2013,3,2,5
508,50806,2013,1,1,2
508,50807,2013,9,0,9
509,50901,2013,10,4,14
509,50902,2013,6,3,9
509,50903,2013,2,1,3
509,50904,2013,6,4,10
509,50905,2013,4,1,5
509,50906,2013,4,2,6
510,51001,2013,29,21,50
510,51002,2013,10,9,19
510,51003,2013,1,3,4
510,51004,2013,1,2,3
511,51101,2013,14,5,19
511,51102,2013,2,1,3
511,51103,2013,0,0,0
511,51104,2013,0,0,0
601,60101,2013,52,37,89
601,60102,2013,8,7,15
601,60103,2013,20,18,38
601,60104,2013,36,21,57
601,60105,2013,18,4,22
601,60106,2013,11,7,18
601,60107,2013,2,0,2
601,60108,2013,82,40,122
612,61201,2013,8,8,16
601,60110,2013,1,0,1
601,60111,2013,20,9,29
601,60112,2013,56,46,102
601,60113,2013,6,0,6
601,60114,2013,1,0,1
601,60115,2013,38,34,72
601,60116,2013,3,0,3
602,60201,2013,41,35,76
602,60202,2013,10,9,19
602,60203,2013,13,9,22
602,60204,2013,4,2,6
602,60205,2013,1,2,3
603,60301,2013,46,25,71
603,60302,2013,6,3,9
603,60303,2013,13,4,17
603,60304,2013,5,6,11
603,60305,2013,3,3,6
603,60306,2013,4,1,5
603,60307,2013,0,3,3
603,60308,2013,5,1,6
603,60309,2013,6,1,7
604,60401,2013,21,19,40
604,60402,2013,2,0,2
604,60403,2013,4,6,10
605,60501,2013,29,14,43
605,60502,2013,35,18,53
605,60503,2013,9,2,11
605,60504,2013,8,4,12
605,60505,2013,13,3,16
605,60506,2013,0,1,1
606,60601,2013,47,28,75
606,60602,2013,15,4,19
606,60603,2013,7,3,10
607,60701,2013,49,28,77
613,61301,2013,19,8,27
607,60703,2013,35,14,49
607,60704,2013,10,11,21
608,60801,2013,44,23,67
608,60802,2013,26,17,43
608,60803,2013,12,16,28
608,60804,2013,8,6,14
608,60805,2013,7,4,11
609,60901,2013,38,22,60
610,61001,2013,62,33,95
610,61002,2013,10,12,22
610,61003,2013,27,23,50
610,61004,2013,21,13,34
611,61101,2013,38,7,45
611,61102,2013,10,12,22
701,70101,2013,214,140,354
701,70102,2013,36,16,52
701,70103,2013,19,10,29
701,70104,2013,18,11,29
702,70201,2013,84,56,140
702,70202,2013,18,11,29
702,70203,2013,49,24,73
702,70204,2013,26,16,42
702,70205,2013,91,55,146
702,70206,2013,5,3,8
702,70207,2013,9,8,17
703,70301,2013,81,47,128
703,70302,2013,12,12,24
703,70303,2013,2,1,3
703,70304,2013,10,3,13
703,70305,2013,16,6,22
703,70306,2013,10,10,20
704,70401,2013,15,11,26
704,70402,2013,23,14,37
704,70403,2013,31,11,42
704,70404,2013,9,7,16
705,70501,2013,17,10,27
705,70502,2013,39,26,65
705,70503,2013,29,15,44
706,70601,2013,63,24,87
706,70602,2013,3,4,7
706,70603,2013,13,7,20
706,70604,2013,31,8,39
706,70605,2013,7,2,9
101,10101,2014,39,27,66
101,10102,2014,52,37,89
101,10103,2014,72,54,126
101,10104,2014,59,53,112
101,10105,2014,76,69,145
