cod_canton,cod_distrito,distrito_nombre,area_km2
305,30509,Santa Rosa,18.62
305,30510,Tres Equis,36.95
305,30511,La Isabel,19.79
305,30512,Chirripó,940.9
306,30601,Pacayas,29.62
306,30602,Cervantes,15.18
306,30603,Capellades,34.39
307,30701,San Rafael,10.28
307,30702,Cot,14.86
307,30703,Potrero Cerrado,18.11
307,30704,Cipreses,9.37
307,30705,Santa Rosa,150.27
308,30801,El Tejar,6.12
308,30802,San Isidro,134.88
308,30803,Tobosi,20.06
308,30804,Patio de Agua,10.94
401,40101,Heredia,2.86
401,40102,Mercedes,4.15
401,40103,San Francisco,6.56
401,40104,Ulloa,11.38
401,40105,Vara Blanca,258.17
402,40201,Barva,0.84
402,40202,San Pedro,2.47
402,40203,San Pablo,6.83
402,40204,San Roque,1.28
402,40205,Santa Lucía,2.86
402,40206,San José de la Montaña,37.04
402,40207,Puente Salas,4.7
403,40301,Santo Domingo,0.78
403,40302,San Vicente,2.88
403,40303,San Miguel,5.9
403,40304,Paracito,1.27
403,40305,Santo Tomás,3.54
403,40306,Santa Rosa,4.27
403,40307,Tures,3.88
403,40308,Pará,2.87
404,40401,Santa Bárbara,1.28
404,40402,San Pedro,2.56
404,40403,San Juan,4.48
404,40404,Jesús,11.15
404,40405,Santo Domingo,26.49
404,40406,Purabá,6.14
405,40501,San Rafael,1.33
405,40502,San Josecito,1.35
405,40503,Santiago,1.57
405,40504,Ángeles,21.24
405,40505,Concepción,22.81
406,40601,San Isidro,2.67
406,40602,San José,11.37
406,40603,Concepción,8.07
406,40604,San Francisco,4.56
407,40701,San Antonio,3.56
407,40702,La Ribera,4.26
407,40703,La Asunción,4.57
408,40801,San Joaquín,2.75
408,40802,Barrantes,2.14
408,40803,Llorente,1.86
409,40901,San Pablo,5.93
409,40902,Rincón de Sabanilla,2.41
410,41001,Puerto Viejo,428.52
410,41002,La Virgen,514.19
410,41003,Las Horquetas,564.59
410,41004,Llanuras del Gaspar,267.24
410,41005,Cureña,369.72
